                            title                            |                                                                             text                                                                              |                                                                                                                                                                                                descr                                                                                                                                                                                                 
-------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Vyučovanie                                                  | Ohodnoťte celkový výkon vyučujúceho na tejto hodine.                                                                                                          | Zohľadnite pritom jeho pripravenosť, zrozumiteľnosť, pútavosť, tempo, prezentáciu, alebo poznámky na tabuli, a pod.
 Diskusia                                                    | Ohodnoťte, aký priestor dal vyučujúci študentom.                                                                                                              | Podporoval vyučujúci diskusiu? Viedol diskusiu korektne? Dokázal na otázky dobre odpovedať? Vedel riešiť prípadné problémy na hodinách? Prejavoval snahu zistiť, či mu študenti rozumejú?
 Kráčanie s dobou                                            | Ohodnoťte, ako vyučujúci využíva nové technológie, alebo postupy.                                                                                             | Všimnite si, či vyučujúci zverejňuje prípravy na hodiny na internete, či odpovedá na e-mail, či má na hodine netradičný prístup ku študentom, či prinesie aj čerstvé poznatky vo svojej oblasti, či je inovatívny a či neučí neaktuálne veci.
 Prístupnosť                                                 | Sú počítačové miestnosti otvorené a prístupné dostatočne potrebám študentov?                                                                                  | Dokážete sa dostať v škole na počítače vždy, keď to potrebujete? Čakáte dlho na sprístupnenie počítača? Sú na začiatku roka počítačové miestnosti dostatočne prístupné?
 Personál                                                    | Ako hodnotíte personál študijného oddelenia?                                                                                                                  | Posúďte ich prístup, profesionalitu, ochotu pomôcť, a pod.
 Návrhy a pripomienky ku študijnému oddeleniu                |                                                                                                                                                               | 
 Vybavenie                                                   | Ohodnoťte počítačové vybavenie, ktoré je študentom dostupné na škole.                                                                                         | Spomeňte si na počítačové učebne, na skleník, terminálky, projektory v niektorých miestnostiach a na wifi pripojenie pre študentov.
 Kvalita                                                     | Ako hodnotíte kvalitu fakultného webu?                                                                                                                        | Ako rýchlo nájdete informácie, ktoré hľadáte? Spĺňa web fakulty všetko, čo očakávate od oficiálneho webu fakulty? Ako hodnotíte jeho dizajn a prístupnosť?
 Informácie                                                  |  Ako hodnotíte informácie na fakultnom webe?                                                                                                                  | Nakoľko sú vám užitočné nájdené informácie? Sú aktuálne? Sú informácie dobre a prehľadne členené?
 Návrhy a pripomienky ku webu fakulty                        |                                                                                                                                                               | 
 Celkové hodnotenie                                          | Ako hodnotíte sociálne zariadenia?                                                                                                                            | Čistotu, funkčnosť, dostupnosť, hygienické potreby, tečúcu vodu, vetranie, atď
 Návrhy a pripomienky ku toaletám                            |                                                                                                                                                               | 
 Celkové hodnotenie                                          | Ako hodnotíte posluchárne a ostatné priestory určené na výuku?                                                                                                | Zohľadnite kvalitu lavíc, osvetlenia, kúrenia, tabúľ, atď.
 Pripomienky k posluchárňam.                                 |                                                                                                                                                               | 
 Voľby dekana                                                | Aký máte názor na výsledok tohtoročných volieb dekana fakulty? Koho by ste volili Vy?                                                                         | 
 Dekan                                                       | Návrhy a konštruktívne pripomienky ku pôsobeniu dekana na fakulte za posledný rok                                                                             | 
